Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
DLF,16-Jun-2025,26-Jun-2025,853.95,865.90,845.55,861.85,862.00,861.85,6164.00,43603.29,30449100.00,443025.00,859.00
DLF,16-Jun-2025,31-Jul-2025,857.20,866.00,846.50,862.70,862.75,862.70,481.00,3407.38,1471800.00,130350.00,859.00
DLF,16-Jun-2025,28-Aug-2025,859.00,869.00,851.00,866.25,865.90,866.25,137.00,973.96,541200.00,57750.00,859.00
DLF,17-Jun-2025,26-Jun-2025,862.00,883.85,852.30,854.30,856.00,854.30,12176.00,87112.08,31024125.00,575025.00,851.45
DLF,17-Jun-2025,31-Jul-2025,864.65,883.25,854.00,855.50,858.00,855.50,1563.00,11183.87,1826550.00,354750.00,851.45
DLF,17-Jun-2025,28-Aug-2025,872.00,886.80,856.25,857.80,861.00,857.80,361.00,2588.00,685575.00,144375.00,851.45
DLF,18-Jun-2025,26-Jun-2025,865.95,867.95,843.30,847.60,847.65,847.60,11119.00,78390.92,30293175.00,-730950.00,844.80
DLF,18-Jun-2025,31-Jul-2025,861.05,869.10,845.40,849.55,850.00,849.55,1302.00,9204.55,2171400.00,344850.00,844.80
DLF,18-Jun-2025,28-Aug-2025,866.55,871.40,847.55,850.60,851.90,850.60,952.00,6710.77,1315050.00,629475.00,844.80
DLF,19-Jun-2025,26-Jun-2025,848.20,852.20,835.05,840.40,838.30,840.40,6608.00,45951.53,29313075.00,-980100.00,839.90
DLF,19-Jun-2025,31-Jul-2025,849.55,853.70,838.00,842.30,841.10,842.30,1360.00,9479.38,2492325.00,320925.00,839.90
DLF,19-Jun-2025,28-Aug-2025,851.00,853.55,839.50,843.65,841.95,843.65,269.00,1878.53,1368675.00,53625.00,839.90
DLF,20-Jun-2025,26-Jun-2025,843.60,859.00,838.85,853.95,851.70,853.95,9265.00,65095.97,27563250.00,-1749825.00,854.25
DLF,20-Jun-2025,31-Jul-2025,844.95,862.00,841.00,857.25,855.20,857.25,3358.00,23688.11,3728175.00,1235850.00,854.25
DLF,20-Jun-2025,28-Aug-2025,848.95,863.10,843.35,857.95,856.25,857.95,810.00,5722.59,1925550.00,556875.00,854.25
DLF,23-Jun-2025,26-Jun-2025,845.70,861.35,842.75,851.65,850.95,851.65,13322.00,93928.49,23071125.00,-4492125.00,852.45
DLF,23-Jun-2025,31-Jul-2025,846.65,865.15,846.65,855.95,854.70,855.95,10705.00,75839.93,9804300.00,6076125.00,852.45
DLF,23-Jun-2025,28-Aug-2025,852.25,865.65,850.20,855.80,854.10,855.80,2501.00,17726.66,3724875.00,1799325.00,852.45
DLF,24-Jun-2025,26-Jun-2025,860.30,868.60,846.95,849.05,852.20,849.05,19364.00,136953.25,16071825.00,-6999300.00,849.50
DLF,24-Jun-2025,31-Jul-2025,866.00,873.50,851.55,854.55,857.40,854.55,14690.00,104575.89,17859600.00,8055300.00,849.50
DLF,24-Jun-2025,28-Aug-2025,865.80,872.85,851.40,854.60,856.80,854.60,2983.00,21155.46,5756850.00,2031975.00,849.50
DLF,25-Jun-2025,26-Jun-2025,855.25,855.60,845.15,854.35,854.50,854.35,17407.00,122122.48,8225250.00,-7846575.00,854.35
DLF,25-Jun-2025,31-Jul-2025,852.60,860.60,849.80,859.40,859.05,859.40,15953.00,112597.96,25334925.00,7475325.00,854.35
DLF,25-Jun-2025,28-Aug-2025,858.60,859.75,849.10,858.80,858.45,858.80,5947.00,41912.96,10361175.00,4604325.00,854.35
DLF,26-Jun-2025,26-Jun-2025,855.45,856.60,834.85,846.10,845.00,847.10,10423.00,72421.42,4855950.00,-3369300.00,847.10
DLF,26-Jun-2025,31-Jul-2025,860.30,861.70,839.50,851.55,851.10,851.55,15429.00,107890.16,29804775.00,4469850.00,847.10
DLF,26-Jun-2025,28-Aug-2025,855.80,857.75,840.00,851.55,851.35,851.55,1088.00,7605.58,10786050.00,424875.00,847.10
DLF,27-Jun-2025,31-Jul-2025,854.75,864.80,845.65,849.80,850.05,849.80,7327.00,51586.42,30291525.00,486750.00,845.80
DLF,27-Jun-2025,28-Aug-2025,862.15,862.15,846.50,850.60,850.70,850.60,1193.00,8395.30,11377575.00,591525.00,845.80
DLF,27-Jun-2025,30-Sep-2025,863.55,863.55,852.95,853.80,854.00,853.80,27.00,190.70,17325.00,17325.00,845.80
DLF,30-Jun-2025,31-Jul-2025,851.20,854.95,839.10,842.00,842.50,842.00,5111.00,35581.12,30658650.00,367125.00,837.80
DLF,30-Jun-2025,28-Aug-2025,851.90,856.10,840.05,842.65,842.90,842.65,655.00,4561.03,11649000.00,271425.00,837.80
DLF,30-Jun-2025,30-Sep-2025,855.55,855.55,846.00,847.70,847.85,847.70,41.00,286.77,35475.00,18150.00,837.80
DLF,01-Jul-2025,31-Jul-2025,848.95,854.00,839.10,845.85,846.35,845.85,7850.00,54787.96,30455700.00,-202950.00,843.45
DLF,01-Jul-2025,28-Aug-2025,848.75,853.00,840.80,845.95,847.15,845.95,661.00,4614.10,11771100.00,122100.00,843.45
DLF,01-Jul-2025,30-Sep-2025,855.00,857.95,844.65,851.90,851.90,851.90,54.00,378.63,47025.00,11550.00,843.45
