Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ETERNAL,16-Jun-2025,26-Jun-2025,249.83,254.24,249.45,253.04,253.44,253.04,10505.00,52883.75,183762000.00,3408000.00,252.15
ETERNAL,16-Jun-2025,31-Jul-2025,251.08,255.30,250.50,254.15,254.05,254.15,1991.00,12202.67,12236550.00,1598075.00,252.15
ETERNAL,16-Jun-2025,28-Aug-2025,252.50,255.68,251.52,255.43,255.68,255.43,82.00,503.88,501975.00,16975.00,252.15
ETERNAL,17-Jun-2025,26-Jun-2025,253.04,253.04,247.67,248.01,248.05,248.01,9162.00,45730.32,184754000.00,992000.00,247.25
ETERNAL,17-Jun-2025,31-Jul-2025,253.32,254.20,248.55,248.91,248.90,248.91,1042.00,6332.19,13208975.00,972425.00,247.25
ETERNAL,17-Jun-2025,28-Aug-2025,255.10,255.26,249.85,250.01,249.85,250.01,51.00,311.16,540775.00,38800.00,247.25
ETERNAL,18-Jun-2025,26-Jun-2025,247.90,250.85,247.88,249.11,248.75,249.11,7091.00,35369.59,186280000.00,1526000.00,248.41
ETERNAL,18-Jun-2025,31-Jul-2025,248.91,251.72,248.91,250.53,250.00,250.53,1351.00,8202.96,14467550.00,1258575.00,248.41
ETERNAL,18-Jun-2025,28-Aug-2025,250.00,252.24,250.00,251.89,251.89,251.40,47.00,285.83,497125.00,-43650.00,248.41
ETERNAL,19-Jun-2025,26-Jun-2025,248.54,255.77,248.30,250.24,249.10,250.24,15239.00,76646.32,188536000.00,2256000.00,249.42
ETERNAL,19-Jun-2025,31-Jul-2025,249.43,256.48,249.28,251.27,250.30,251.27,2750.00,16840.35,17724325.00,3256775.00,249.42
ETERNAL,19-Jun-2025,28-Aug-2025,251.11,257.02,251.11,252.32,251.72,252.32,58.00,356.73,511675.00,14550.00,249.42
ETERNAL,20-Jun-2025,26-Jun-2025,251.00,254.50,249.22,253.90,253.24,253.90,11677.00,59083.18,184884000.00,-3652000.00,253.33
ETERNAL,20-Jun-2025,31-Jul-2025,251.29,255.50,251.11,254.91,254.48,254.91,4462.00,27468.17,21863800.00,4139475.00,253.33
ETERNAL,20-Jun-2025,28-Aug-2025,253.09,256.51,253.09,255.91,255.50,255.91,202.00,1247.90,763875.00,252200.00,253.33
ETERNAL,23-Jun-2025,26-Jun-2025,252.76,255.97,250.51,254.59,254.41,254.59,31304.00,159048.81,149234000.00,-35650000.00,254.64
ETERNAL,23-Jun-2025,31-Jul-2025,251.04,257.45,251.04,256.08,255.61,256.08,22356.00,138393.87,55888975.00,34025175.00,254.64
ETERNAL,23-Jun-2025,28-Aug-2025,254.00,258.04,252.84,257.15,257.10,257.15,203.00,1261.25,792975.00,29100.00,254.64
ETERNAL,24-Jun-2025,26-Jun-2025,257.21,260.14,254.15,255.11,255.50,255.11,41756.00,215082.01,83816000.00,-65418000.00,255.07
ETERNAL,24-Jun-2025,31-Jul-2025,258.00,261.72,255.98,256.85,256.61,256.85,34101.00,214249.24,116053225.00,60164250.00,255.07
ETERNAL,24-Jun-2025,28-Aug-2025,259.37,262.60,257.10,258.03,258.41,258.03,197.00,1241.96,940900.00,147925.00,255.07
ETERNAL,25-Jun-2025,26-Jun-2025,256.00,259.88,255.32,259.27,259.15,259.27,29428.00,152185.93,38038000.00,-45778000.00,258.86
ETERNAL,25-Jun-2025,31-Jul-2025,258.84,261.52,257.00,260.93,260.74,260.93,27104.00,171007.66,146680975.00,30627750.00,258.86
ETERNAL,25-Jun-2025,28-Aug-2025,258.70,262.40,258.00,261.98,261.88,261.98,207.00,1310.96,940900.00,-,258.86
ETERNAL,26-Jun-2025,26-Jun-2025,260.28,266.22,258.64,265.12,265.38,265.18,20008.00,105102.07,14268000.00,-23770000.00,265.18
ETERNAL,26-Jun-2025,31-Jul-2025,261.78,267.74,261.01,266.34,266.25,266.34,22607.00,144990.94,160023325.00,13342350.00,265.18
ETERNAL,26-Jun-2025,28-Aug-2025,262.50,268.71,262.50,267.50,267.42,267.50,407.00,2617.90,1113075.00,172175.00,265.18
ETERNAL,27-Jun-2025,31-Jul-2025,266.99,267.77,262.73,263.83,265.20,263.83,16411.00,105050.01,158873875.00,-1149450.00,261.86
ETERNAL,27-Jun-2025,28-Aug-2025,268.43,268.43,263.90,265.21,266.03,265.21,480.00,3085.89,1205225.00,92150.00,261.86
ETERNAL,27-Jun-2025,30-Sep-2025,267.40,267.40,265.00,265.79,267.35,265.79,17.00,109.63,31525.00,31525.00,261.86
ETERNAL,30-Jun-2025,31-Jul-2025,265.26,267.00,263.21,265.13,265.03,265.13,6385.00,41112.12,159594100.00,720225.00,264.15
ETERNAL,30-Jun-2025,28-Aug-2025,266.23,267.83,265.09,266.11,266.36,266.11,245.00,1583.13,1219775.00,14550.00,264.15
ETERNAL,30-Jun-2025,30-Sep-2025,268.47,268.77,267.20,267.43,267.20,267.43,25.00,162.54,63050.00,31525.00,264.15
ETERNAL,01-Jul-2025,31-Jul-2025,265.45,265.70,260.60,262.45,262.25,262.45,4958.00,31596.60,158805975.00,-788125.00,261.00
ETERNAL,01-Jul-2025,28-Aug-2025,266.55,266.55,261.90,263.55,263.50,263.55,158.00,1010.86,1292525.00,72750.00,261.00
ETERNAL,01-Jul-2025,30-Sep-2025,266.25,266.25,263.20,264.75,264.75,264.75,23.00,147.70,92150.00,29100.00,261.00
