Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NTPC,16-Jun-2025,26-Jun-2025,338.20,338.20,331.25,334.75,334.95,334.75,4410.00,22088.32,109518000.00,-589500.00,333.70
NTPC,16-Jun-2025,31-Jul-2025,334.70,337.20,333.50,336.75,336.90,336.75,1732.00,8731.69,7278000.00,1162500.00,333.70
NTPC,16-Jun-2025,28-Aug-2025,334.70,335.80,332.45,335.40,335.55,335.40,298.00,1495.79,6834000.00,238500.00,333.70
NTPC,17-Jun-2025,26-Jun-2025,335.45,337.60,334.10,335.85,335.90,335.85,6081.00,30637.04,109737000.00,219000.00,335.20
NTPC,17-Jun-2025,31-Jul-2025,336.75,339.90,336.25,337.80,337.35,337.80,1666.00,8441.62,8263500.00,985500.00,335.20
NTPC,17-Jun-2025,28-Aug-2025,335.55,338.10,334.80,336.45,336.00,336.45,217.00,1095.09,7027500.00,193500.00,335.20
NTPC,18-Jun-2025,26-Jun-2025,335.75,336.40,331.35,332.75,332.60,332.75,9608.00,48064.03,109330500.00,-406500.00,332.40
NTPC,18-Jun-2025,31-Jul-2025,338.05,338.05,333.40,334.60,334.55,334.60,1545.00,7769.49,9391500.00,1128000.00,332.40
NTPC,18-Jun-2025,28-Aug-2025,335.75,335.75,332.20,333.35,333.10,333.35,836.00,4195.66,8170500.00,1143000.00,332.40
NTPC,19-Jun-2025,26-Jun-2025,332.55,333.30,329.10,330.30,329.10,330.30,9610.00,47724.03,106470000.00,-2860500.00,330.05
NTPC,19-Jun-2025,31-Jul-2025,334.35,335.15,330.80,331.80,330.85,331.80,2623.00,13095.18,10827000.00,1435500.00,330.05
NTPC,19-Jun-2025,28-Aug-2025,333.35,333.45,329.70,330.90,329.80,330.90,401.00,1994.28,8392500.00,222000.00,330.05
NTPC,20-Jun-2025,26-Jun-2025,330.00,335.50,329.85,334.95,334.25,334.95,10944.00,54686.07,100264500.00,-6205500.00,335.20
NTPC,20-Jun-2025,31-Jul-2025,331.85,337.25,331.55,336.55,335.90,336.55,4183.00,21000.86,13972500.00,3145500.00,335.20
NTPC,20-Jun-2025,28-Aug-2025,330.00,335.50,330.00,335.10,334.75,335.10,1142.00,5690.91,9760500.00,1368000.00,335.20
NTPC,23-Jun-2025,26-Jun-2025,334.30,335.35,331.30,333.90,333.10,333.90,17915.00,89564.40,83227500.00,-17037000.00,332.60
NTPC,23-Jun-2025,31-Jul-2025,334.75,337.25,333.20,335.85,334.55,335.85,13047.00,65593.67,30115500.00,16143000.00,332.60
NTPC,23-Jun-2025,28-Aug-2025,333.50,335.80,332.00,334.00,333.20,334.00,1765.00,8844.60,12202500.00,2442000.00,332.60
NTPC,24-Jun-2025,26-Jun-2025,332.25,332.25,322.10,330.40,331.35,330.40,39050.00,192036.18,58977000.00,-24250500.00,329.95
NTPC,24-Jun-2025,31-Jul-2025,334.10,334.30,323.95,332.30,333.25,332.30,43127.00,212751.57,71739000.00,41623500.00,329.95
NTPC,24-Jun-2025,28-Aug-2025,334.55,334.55,322.40,331.15,331.65,331.15,4709.00,23230.83,17938500.00,5736000.00,329.95
NTPC,25-Jun-2025,26-Jun-2025,330.85,333.65,329.70,330.65,330.50,330.65,22002.00,109248.10,38454000.00,-20523000.00,330.85
NTPC,25-Jun-2025,31-Jul-2025,324.00,335.45,324.00,332.70,332.80,332.70,19375.00,96803.67,90937500.00,19198500.00,330.85
NTPC,25-Jun-2025,28-Aug-2025,324.95,334.05,324.95,331.50,331.55,331.50,2553.00,12697.65,21220500.00,3282000.00,330.85
NTPC,26-Jun-2025,26-Jun-2025,330.90,337.25,330.90,336.45,337.10,337.15,19731.00,99078.88,25480500.00,-12973500.00,337.15
NTPC,26-Jun-2025,31-Jul-2025,333.90,340.55,333.10,339.25,339.60,339.25,26632.00,134693.65,105430500.00,14493000.00,337.15
NTPC,26-Jun-2025,28-Aug-2025,332.95,339.00,331.75,338.05,338.00,338.05,2384.00,12005.72,22776000.00,1555500.00,337.15
NTPC,27-Jun-2025,31-Jul-2025,339.60,342.95,336.30,338.50,337.15,338.50,22062.00,112345.01,99735000.00,-5695500.00,338.30
NTPC,27-Jun-2025,28-Aug-2025,338.50,343.50,335.65,337.65,336.60,337.65,1094.00,5572.80,22906500.00,130500.00,338.30
NTPC,27-Jun-2025,30-Sep-2025,342.85,343.65,338.55,339.75,338.55,339.75,46.00,235.85,52500.00,52500.00,338.30
NTPC,30-Jun-2025,31-Jul-2025,337.35,339.25,335.50,336.70,336.85,336.70,4908.00,24798.10,100512000.00,777000.00,334.90
NTPC,30-Jun-2025,28-Aug-2025,337.15,338.10,334.60,335.70,335.75,335.70,731.00,3682.54,23470500.00,564000.00,334.90
NTPC,30-Jun-2025,30-Sep-2025,340.00,341.15,336.80,337.90,337.65,337.90,66.00,334.44,99000.00,46500.00,334.90
NTPC,01-Jul-2025,31-Jul-2025,336.95,337.00,333.50,334.15,334.15,334.15,5451.00,27365.32,100338000.00,-174000.00,332.60
NTPC,01-Jul-2025,28-Aug-2025,335.70,335.70,332.85,333.25,333.20,333.25,729.00,3651.70,23908500.00,438000.00,332.60
NTPC,01-Jul-2025,30-Sep-2025,337.30,337.30,335.05,335.35,335.40,335.35,46.00,231.74,139500.00,40500.00,332.60
