Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
PAYTM,16-Jun-2025,26-Jun-2025,884.40,888.40,857.50,879.60,879.60,879.60,5913.00,33560.66,23929100.00,-151450.00,877.35
PAYTM,16-Jun-2025,31-Jul-2025,881.95,893.35,863.80,885.00,883.95,885.00,890.00,5683.83,830125.00,81925.00,877.35
PAYTM,16-Jun-2025,28-Aug-2025,870.20,894.55,869.25,890.70,891.00,890.70,41.00,264.12,81200.00,5800.00,877.35
PAYTM,17-Jun-2025,26-Jun-2025,879.60,882.80,857.30,867.35,866.85,867.35,4699.00,26494.01,23916750.00,-12350.00,865.15
PAYTM,17-Jun-2025,31-Jul-2025,883.30,887.80,862.80,872.40,871.10,872.40,1751.00,11095.08,1282525.00,452400.00,865.15
PAYTM,17-Jun-2025,28-Aug-2025,884.05,884.15,870.10,880.00,880.00,875.75,47.00,299.15,81925.00,725.00,865.15
PAYTM,18-Jun-2025,26-Jun-2025,871.90,897.50,859.70,893.90,893.20,893.90,8430.00,48621.41,24278800.00,362050.00,891.50
PAYTM,18-Jun-2025,31-Jul-2025,870.60,903.00,865.15,899.40,898.00,899.40,1107.00,7159.06,1242650.00,-39875.00,891.50
PAYTM,18-Jun-2025,28-Aug-2025,880.00,907.00,880.00,903.80,903.00,903.80,85.00,553.35,66700.00,-15225.00,891.50
PAYTM,19-Jun-2025,26-Jun-2025,893.25,898.20,866.60,870.30,867.45,870.30,7235.00,41303.45,24336650.00,57850.00,868.20
PAYTM,19-Jun-2025,31-Jul-2025,900.05,904.20,871.55,874.65,872.00,874.65,3431.00,21999.94,1907475.00,664825.00,868.20
PAYTM,19-Jun-2025,28-Aug-2025,900.50,907.05,877.30,879.00,877.35,879.00,93.00,599.76,77575.00,10875.00,868.20
PAYTM,20-Jun-2025,26-Jun-2025,871.60,881.80,860.10,873.60,875.15,873.60,6238.00,35309.03,24167000.00,-169650.00,871.20
PAYTM,20-Jun-2025,31-Jul-2025,872.05,886.60,865.30,878.15,879.90,878.15,2886.00,18334.07,2737600.00,830125.00,871.20
PAYTM,20-Jun-2025,28-Aug-2025,874.00,889.50,872.40,882.00,879.75,882.00,67.00,427.51,90625.00,13050.00,871.20
PAYTM,23-Jun-2025,26-Jun-2025,867.30,895.65,861.70,883.25,883.95,883.25,21231.00,121737.06,17284800.00,-6882200.00,883.45
PAYTM,23-Jun-2025,31-Jul-2025,871.70,901.15,867.05,889.10,888.85,889.10,16432.00,105766.44,9718625.00,6981025.00,883.45
PAYTM,23-Jun-2025,28-Aug-2025,875.20,905.00,873.00,892.10,892.95,892.10,80.00,516.94,89175.00,-1450.00,883.45
PAYTM,24-Jun-2025,26-Jun-2025,891.95,908.50,886.20,898.20,901.00,898.20,22359.00,130476.87,9853350.00,-7431450.00,898.50
PAYTM,24-Jun-2025,31-Jul-2025,900.50,915.00,892.10,904.80,908.35,904.80,18634.00,122085.15,18204750.00,8486125.00,898.50
PAYTM,24-Jun-2025,28-Aug-2025,905.75,919.00,900.20,910.90,911.60,910.90,90.00,592.48,89900.00,725.00,898.50
PAYTM,25-Jun-2025,26-Jun-2025,901.75,909.05,891.00,895.35,895.50,895.35,11386.00,66492.83,5413850.00,-4439500.00,894.70
PAYTM,25-Jun-2025,31-Jul-2025,910.00,915.00,897.50,902.20,903.80,902.20,10553.00,69228.82,23218850.00,5014100.00,894.70
PAYTM,25-Jun-2025,28-Aug-2025,916.15,918.15,903.00,907.75,909.40,907.75,80.00,527.88,110925.00,21025.00,894.70
PAYTM,26-Jun-2025,26-Jun-2025,896.85,918.25,888.75,914.55,912.00,915.80,9978.00,58678.00,3909750.00,-1504100.00,915.75
PAYTM,26-Jun-2025,31-Jul-2025,902.80,925.95,895.00,922.60,920.45,922.60,14353.00,95063.92,25769400.00,2550550.00,915.75
PAYTM,26-Jun-2025,28-Aug-2025,908.55,930.00,903.00,927.60,925.40,927.60,173.00,1148.19,131950.00,21025.00,915.75
PAYTM,27-Jun-2025,31-Jul-2025,919.85,925.85,910.20,923.30,922.00,923.30,8239.00,54931.96,25005250.00,-764150.00,919.35
PAYTM,27-Jun-2025,28-Aug-2025,926.85,931.00,918.00,928.90,929.10,928.90,185.00,1240.15,165300.00,33350.00,919.35
PAYTM,27-Jun-2025,30-Sep-2025,930.00,935.00,925.60,935.00,935.00,935.00,8.00,53.94,5800.00,5800.00,919.35
PAYTM,30-Jun-2025,31-Jul-2025,924.90,935.00,920.20,930.15,931.55,930.15,5104.00,34362.06,25334400.00,329150.00,924.00
PAYTM,30-Jun-2025,28-Aug-2025,930.00,940.00,926.00,935.10,935.70,935.10,167.00,1127.95,173275.00,7975.00,924.00
PAYTM,30-Jun-2025,30-Sep-2025,935.00,942.30,935.00,939.00,939.00,939.00,13.00,88.45,3625.00,-2175.00,924.00
PAYTM,01-Jul-2025,31-Jul-2025,925.95,942.00,920.70,935.80,936.00,935.80,4159.00,28148.05,25632375.00,297975.00,930.25
PAYTM,01-Jul-2025,28-Aug-2025,929.45,946.50,927.70,941.00,940.60,941.00,103.00,699.75,174725.00,1450.00,930.25
PAYTM,01-Jul-2025,30-Sep-2025,939.00,949.00,939.00,943.10,943.10,944.70,8.00,54.81,5075.00,1450.00,930.25
